v1,tp,fp,tn,fn,prec,rec,f1,n,noise_vars,cor_vars,linear_vars,minority_size,iter
xgboost_smote,31,1994,9282,68,0.0153086419753086,0.313131313131313,0.0291902071563089,37914,4,3,39,0.00915229202932953,5
xgboost_none,0,0,11276,99,NaN,0,NaN,37914,4,3,39,0.00915229202932953,5
randomforest_under,63,4893,6383,36,0.0127118644067797,0.636363636363636,0.0249258160237389,37914,4,3,39,0.00915229202932953,5
randomforest_over,0,0,11276,99,NaN,0,NaN,37914,4,3,39,0.00915229202932953,5
randomforest_smote,8,337,10939,91,0.0231884057971014,0.0808080808080808,0.036036036036036,37914,4,3,39,0.00915229202932953,5
randomforest_none,0,0,11276,99,NaN,0,NaN,37914,4,3,39,0.00915229202932953,5
c50_under,48,4931,6345,51,0.00964049005824463,0.484848484848485,0.018905080740449,37914,4,3,39,0.00915229202932953,5
c50_over,2,179,11097,97,0.0110497237569061,0.0202020202020202,0.0142857142857143,37914,4,3,39,0.00915229202932953,5
c50_smote,27,2940,8336,72,0.00910010111223458,0.272727272727273,0.0176125244618395,37914,4,3,39,0.00915229202932953,5
c50_none,0,0,11276,99,NaN,0,NaN,37914,4,3,39,0.00915229202932953,5
adaboost_under,67,6697,5630,40,0.00990538143110585,0.626168224299065,0.0195022558579537,41446,2,2,41,0.00832408435072142,6
adaboost_over,0,2,12325,107,0,0,NaN,41446,2,2,41,0.00832408435072142,6
adaboost_smote,33,2482,9845,74,0.0131212723658052,0.308411214953271,0.0251716247139588,41446,2,2,41,0.00832408435072142,6
adaboost_none,0,1,12326,107,0,0,NaN,41446,2,2,41,0.00832408435072142,6
xgboost_under,67,5382,6945,40,0.0122958340979996,0.626168224299065,0.0241180705543557,41446,2,2,41,0.00832408435072142,6
xgboost_over,15,1388,10939,92,0.0106913756236636,0.14018691588785,0.0198675496688742,41446,2,2,41,0.00832408435072142,6
xgboost_smote,28,2097,10230,79,0.0131764705882353,0.261682242990654,0.025089605734767,41446,2,2,41,0.00832408435072142,6
xgboost_none,0,0,12327,107,NaN,0,NaN,41446,2,2,41,0.00832408435072142,6
randomforest_under,67,5080,7247,40,0.01301729162619,0.626168224299065,0.0255043776170537,41446,2,2,41,0.00832408435072142,6
randomforest_over,0,0,12327,107,NaN,0,NaN,41446,2,2,41,0.00832408435072142,6
randomforest_smote,6,423,11904,101,0.013986013986014,0.0560747663551402,0.0223880597014925,41446,2,2,41,0.00832408435072142,6
randomforest_none,0,0,12327,107,NaN,0,NaN,41446,2,2,41,0.00832408435072142,6
c50_under,50,5554,6773,57,0.00892219842969308,0.467289719626168,0.0175100682892663,41446,2,2,41,0.00832408435072142,6
c50_over,1,134,12193,106,0.00740740740740741,0.00934579439252336,0.00826446280991736,41446,2,2,41,0.00832408435072142,6
c50_smote,33,3250,9077,74,0.0100517819067926,0.308411214953271,0.0194690265486726,41446,2,2,41,0.00832408435072142,6
c50_none,0,0,12327,107,NaN,0,NaN,41446,2,2,41,0.00832408435072142,6
adaboost_under,86,4857,4655,68,0.0173983410884078,0.558441558441558,0.0337453403963116,32219,3,3,34,0.015953319469878,7
adaboost_over,0,0,9512,154,NaN,0,NaN,32219,3,3,34,0.015953319469878,7
adaboost_smote,46,2104,7408,108,0.0213953488372093,0.298701298701299,0.0399305555555556,32219,3,3,34,0.015953319469878,7
adaboost_none,0,3,9509,154,0,0,NaN,32219,3,3,34,0.015953319469878,7
xgboost_under,94,4072,5440,60,0.0225636101776284,0.61038961038961,0.0435185185185185,32219,3,3,34,0.015953319469878,7
xgboost_over,31,1184,8328,123,0.0255144032921811,0.201298701298701,0.0452885317750183,32219,3,3,34,0.015953319469878,7
xgboost_smote,32,1749,7763,122,0.0179674340258282,0.207792207792208,0.0330749354005168,32219,3,3,34,0.015953319469878,7
xgboost_none,0,0,9512,154,NaN,0,NaN,32219,3,3,34,0.015953319469878,7
randomforest_under,87,3645,5867,67,0.0233118971061093,0.564935064935065,0.0447761194029851,32219,3,3,34,0.015953319469878,7
randomforest_over,0,0,9512,154,NaN,0,NaN,32219,3,3,34,0.015953319469878,7
randomforest_smote,7,390,9122,147,0.017632241813602,0.0454545454545455,0.0254083484573503,32219,3,3,34,0.015953319469878,7
randomforest_none,0,2,9510,154,0,0,NaN,32219,3,3,34,0.015953319469878,7
c50_under,88,4757,4755,66,0.0181630546955624,0.571428571428571,0.0352070414082817,32219,3,3,34,0.015953319469878,7
c50_over,5,259,9253,149,0.0189393939393939,0.0324675324675325,0.0239234449760766,32219,3,3,34,0.015953319469878,7
c50_smote,43,2459,7053,111,0.0171862509992006,0.279220779220779,0.0323795180722892,32219,3,3,34,0.015953319469878,7
